1;0;IsHardcore;The nucleus Question;answer;70;60;;
1;1;0;... is the science of how three tiny particles come together to form everything.;Chemistry;;;;
1;2;0;Everything is made from ....;atoms;;;;
1;3;0;A ... is a well-tested set of ideas that explains many disparate observations.;theory;;;;
1;4;0;A theory is a ...-... set of ideas that explains many disparate observations.;well-tested;;;;
1;5;1;... (name) mathematically proved the existance of atoms in 1905.;Einstein;;;;
1;6;1;Einstein mathematically proved the existance of atoms in ....;1905;;;;
1;7;0;Brownian motion is the ... motion of particles.;random;;;;
1;8;0;... motion is the random motion of particles.;Brownian;;;;
1;9;0;Every ... is made up of three subatomic particles.;atom;;;;
1;10;0;Every atom is made up of ... subatomic particles.;three;;;;
1;11;0;Protons are a kind of ... particles.;subatomic;;;;
1;12;0;Neutrons are a kind of ... particles.;subatomic;;;;
1;13;0;Electrons are a kind of ... particles.;subatomic;;;;
1;14;0;... are heavy and positively charged subatomic particles.;Protons;;;;
1;15;0;Protons are heavy and ... charged subatomic particles.;positively;;;;
1;16;0;Neutrons are the size of protons but ....;neutral;;;;
1;17;0;... are the size of protons but neutral.;Neutrons;;;;
1;18;0;The ... has nearly no mass and is negatively charged.;electron;;;;
1;19;0;The electron has nearly no ... and is negatively charged.;mass;;;;
1;20;0;The ... has the same amount of opposite charge as the proton.;electron;;;;
1;21;1;The electron is ... times less massive than the proton or neutron.;1800;;;;
1;22;0;Protons and neutrons are located in the ....;nucleus;;;;
1;23;0;Protons and neutrons are also called ....;nucleons;;;;
1;24;0;The particles within the nucleus are called ....;nucleons;;;;
1;25;0;Electrons are located ... the nucleus.;around;;;;
1;26;0;The number of ... in an atom determines what element it is.;protons;;;;
1;27;0;The number of protons in an atom determines what ... it is.;element;;;;
1;28;0;The number of protons in the nucleus is the ... number of an element.;atomic;;;;
1;29;0;The atomic number of an element is the number of ... in its nucleus.;protons;;;;
1;30;0;The atomic number is located in the ... left corner of the box in the periodic table.;top;;;;
1;31;1;"""Nuclei"" is plural for ....";nucleus;;;;
1;32;0;Nuclei are thousands of times smaller than the ....;atom;;;;
1;33;0;The ... nuclear force is one of the four fundamental forces of physics.;strong;;;;
1;34;0;The strong nuclear force is the ... of the fundamental forces of physics.;strongest;;;;
1;35;0;The nucleus is held together by the ... ... ....;strong nuclear force;;;;
1;36;0;The strong nuclear force holds the ... together.;nucleus;;;;
1;37;0;... can jump from atom to atom when it's convenient.;Electrons;;;;
1;38;0;... space protons out correctly within the nucleus.;Neutrons;;;;
1;39;0;The number of ... does not change with the relative atomic mass of a given element.;protons;;;;
1;40;0;The number of ... changes with the relative atomic mass of a given element.;neutrons;;;;
1;41;0;The ... ... ... is the average of the sum of protons and neutrons of a given element on Earth.;relative atomic mass;;;;
1;42;0;Isotopes are atoms of an element differing in the number of ....;neutrons;;;;
1;43;0;... are atoms of an element differing in the number of neutrons.;isotopes;;;;
1;44;0;Isotopes have the same chemical ....;properties;;;;
1;45;1;"""..."" means ""same place""";isotope;;;;
1;46;0;Isotopes have different ... ....;mass numbers;;;;
1;47;0;... have different mass numbers but the same atomic number.;Isotopes;;;;
1;48;0;The mass number is the total number of ... in the nucleus.;nucleons;;;;
1;49;0;The ... ... is the total number of nucleons in the nucleus.;mass number;;;;
1;50;0;The propertities of an atom depend on the arrangement of the ... particles.;subatomic;;;;
1;51;0;The ... of an atom depend on the arrangement of the subatomic particles.;properties;;;;
1;52;0;The electron has nearly no mass and is ... charged.;negatively;;;;
10;0;0;Redox reactions Question;answer;50;40;;
10;1;0;Redox reactions involve the transfer of ....;electrons;;;;
10;2;0;... reactions involve the transfer of electrons.;redox;;;;
10;3;0;Reduction is when a substance ... electrons.;gains;;;;
10;4;0;... is when a substance gains electrons.;Reduction;;;;
10;5;0;Reduction is when a substance gains ....;electrons;;;;
10;6;0;Oxidation is when a substance looses ....;electrons;;;;
10;7;0;... is when a substance looses electrons.;oxidation;;;;
10;8;1;Oxygen is the quintessential ....;oxidizer;;;;
10;9;0;Oxidation and reduction are all about ... transfer.;electron;;;;
10;10;0;OILRIG - OIL stands for: ... is ... of ....;oxidation is loss of electrons;;;;
10;11;0;OILRIG - RIG stands for ... is ... of .....;reduction is gain of electrons;;;;
10;12;0;Covalent bonds involve ... of electrons.;sharing;;;;
10;13;0;... bonds invlove sharing of electrons between atoms.;covalent;;;;
10;14;0;Covalent compounds share ....;electrons;;;;
10;15;0;Oxidation state is also called the oxidation ....;number;;;;
10;16;0;Oxidation number is also called the oxidation ....;state;;;;
10;17;0;The oxidation state describes the status of ... electrons in a covalent compound.;shared;;;;
10;18;0;The ... ... describes the statues of shared electrons in a covalent compound.;oxidation state/number;;;;
10;19;0;The oxidation number is the value of an atom's charge if it was an ....;ion;;;;
10;20;0;The oxidation number for any element by itself is always ....;zero;;;;
10;21;0;The oxidation number for a monoatomic ion is equal to its ....;charge;;;;
10;22;0;Oxygen almost always has an oxidation number of ... ....;-2;;;;
10;23;0;Hydrogen has an oxidation state of ...;1;;;;
10;24;0;Fluorine has an oxidation state of ....;-1;;;;
10;25;0;Most of the halogens have the same oxidation state as ....;fluorine;;;;
10;26;0;The most common oxidation state for most halogens is ....;-1;;;;
10;27;0;All oxidation numbers in a neutral compound will always add up to ....;zero;;;;
10;28;0;A polyatomic ion has an oxidation state that matches its ....;charge;;;;
10;30;1;An ... in organic chemistry is a symbol for some organic group of atoms.;R;;;;
10;31;1;The functional group of aldehydes is ...;CHO;;;;
10;33;0;... ... are assigned to atoms to track what happens to their electrons in reactions.;Oxidation numbers;;;;
10;34;0;Oxidation numbers are assigned to atoms to track what happens to their ... in reactions.;electrons;;;;
10;35;0;Oxygen has an oxidation number od ... when in peroxides.;-1;;;;
10;36;1;The Haber process removes stable elemental nitrogen from the air and combines it with hydrogen to form ....;ammonia;;;;
10;37;1;The ... process removes stable elemental nitrogen from the air and combines it with hydrogen to form ammonia.;Haber;;;;
10;38;1;The Haber process is used for making bombs and ....;fertilizer;;;;
